country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,0,1,0,0,0,0,24,5,4,11,6,31,34,3,4,7,4,3,10,6,1,2,2,4,0,8,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,30,13,6,4,16,0,0,19,7,0,0,0,2,0,0,4,6,0,0,0,3,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,24,0,1,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,11,0,3,0,1,51,15,10,9,1,3,32,16,8,19,40,10,27,15,8,12,4,22,0,1,1,2,5,0,0,3,0,0,5,0,0,0,0,1,6,6,0,6,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,12,7,0,0,0,3,0,1,0,0,0,0,22,5,0,1,0,4,15,12,5,3,0,0
55,0,0,0,0,0,0,0,0,1,5,1,12,0,0,0,17,2,2,1,1,0,1,7,0,6,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,23,7,0,3,7
56,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,71,2,0,18,51,711,35,6,0,50,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0
57,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,3,0,3,4,0,0,0,12,8,6,0,24,0,0,0,0,40,8,16,14,11,24,31,0,23,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,8,0,0
59,0,0,0,1,5,0,8,22,36,4,14,10,11,16,35,28,47,11,28,45,25,17,35,8,20,13,7,8,2,7,13,5,12,4,0,0,0,5,3,0,3,1,5,0,3,27,3,83,16
60,3,4,1,0,0,0,0,4,12,8,18,299,4,0,0,10,61,26,31,11,108,47,349,812,639,405,564,45,5,0,0,0,0,289,399,162,0,1,34,6,229,290,1803,2127,4463,2964,3606,500,768
61,0,0,4,1,10,15,33,20,275,1367,8416,6055,5729,5974,4887,4222,1425,2122,2220,2206,1492,3121,140,119,34,144,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
